country	continent	year
Afghanistan	Asia	1952
Afghanistan	Asia	1957
Afghanistan	Asia	1962
Afghanistan	Asia	1967
Afghanistan	Asia	1972
Afghanistan	Asia	1977
Afghanistan	Asia	1982
Afghanistan	Asia	1987
Afghanistan	Asia	1992
Afghanistan	Asia	1997
Afghanistan	Asia	2002
Afghanistan	Asia	2007
Albania	Europe	1952
Albania	Europe	1957
Albania	Europe	1962
Albania	Europe	1967
Albania	Europe	1972
Albania	Europe	1977
Albania	Europe	1982
Albania	Europe	1987
Albania	Europe	1992
Albania	Europe	1997
Albania	Europe	2002
Albania	Europe	2007
Algeria	Africa	1952
Algeria	Africa	1957
Algeria	Africa	1962
Algeria	Africa	1967
Algeria	Africa	1972
Algeria	Africa	1977
Algeria	Africa	1982
Algeria	Africa	1987
Algeria	Africa	1992
Algeria	Africa	1997
Algeria	Africa	2002
Algeria	Africa	2007
Angola	Africa	1952
Angola	Africa	1957
Angola	Africa	1962
Angola	Africa	1967
Angola	Africa	1972
Angola	Africa	1977
Angola	Africa	1982
Angola	Africa	1987
Angola	Africa	1992
Angola	Africa	1997
Angola	Africa	2002
Angola	Africa	2007
Argentina	Americas	1952
Argentina	Americas	1957
Argentina	Americas	1962
Argentina	Americas	1967
Argentina	Americas	1972
Argentina	Americas	1977
Argentina	Americas	1982
Argentina	Americas	1987
Argentina	Americas	1992
Argentina	Americas	1997
Argentina	Americas	2002
Argentina	Americas	2007
Australia	Oceania	1952
Australia	Oceania	1957
Australia	Oceania	1962
Australia	Oceania	1967
Australia	Oceania	1972
Australia	Oceania	1977
Australia	Oceania	1982
Australia	Oceania	1987
Australia	Oceania	1992
Australia	Oceania	1997
Australia	Oceania	2002
Australia	Oceania	2007
Austria	Europe	1952
Austria	Europe	1957
Austria	Europe	1962
Austria	Europe	1967
Austria	Europe	1972
Austria	Europe	1977
Austria	Europe	1982
Austria	Europe	1987
Austria	Europe	1992
Austria	Europe	1997
Austria	Europe	2002
Austria	Europe	2007
Bahrain	Asia	1952
Bahrain	Asia	1957
Bahrain	Asia	1962
Bahrain	Asia	1967
Bahrain	Asia	1972
Bahrain	Asia	1977
Bahrain	Asia	1982
Bahrain	Asia	1987
Bahrain	Asia	1992
Bahrain	Asia	1997
Bahrain	Asia	2002
Bahrain	Asia	2007
Bangladesh	Asia	1952
Bangladesh	Asia	1957
Bangladesh	Asia	1962
Bangladesh	Asia	1967
Bangladesh	Asia	1972
Bangladesh	Asia	1977
Bangladesh	Asia	1982
Bangladesh	Asia	1987
Bangladesh	Asia	1992
Bangladesh	Asia	1997
Bangladesh	Asia	2002
Bangladesh	Asia	2007
Belgium	Europe	1952
Belgium	Europe	1957
Belgium	Europe	1962
Belgium	Europe	1967
Belgium	Europe	1972
Belgium	Europe	1977
Belgium	Europe	1982
Belgium	Europe	1987
Belgium	Europe	1992
Belgium	Europe	1997
Belgium	Europe	2002
Belgium	Europe	2007
Benin	Africa	1952
Benin	Africa	1957
Benin	Africa	1962
Benin	Africa	1967
Benin	Africa	1972
Benin	Africa	1977
Benin	Africa	1982
Benin	Africa	1987
Benin	Africa	1992
Benin	Africa	1997
Benin	Africa	2002
Benin	Africa	2007
Bolivia	Americas	1952
Bolivia	Americas	1957
Bolivia	Americas	1962
Bolivia	Americas	1967
Bolivia	Americas	1972
Bolivia	Americas	1977
Bolivia	Americas	1982
Bolivia	Americas	1987
Bolivia	Americas	1992
Bolivia	Americas	1997
Bolivia	Americas	2002
Bolivia	Americas	2007
Bosnia_and_Herzegovina	Europe	1952
Bosnia_and_Herzegovina	Europe	1957
Bosnia_and_Herzegovina	Europe	1962
Bosnia_and_Herzegovina	Europe	1967
Bosnia_and_Herzegovina	Europe	1972
Bosnia_and_Herzegovina	Europe	1977
Bosnia_and_Herzegovina	Europe	1982
Bosnia_and_Herzegovina	Europe	1987
Bosnia_and_Herzegovina	Europe	1992
Bosnia_and_Herzegovina	Europe	1997
Bosnia_and_Herzegovina	Europe	2002
Bosnia_and_Herzegovina	Europe	2007
Botswana	Africa	1952
Botswana	Africa	1957
Botswana	Africa	1962
Botswana	Africa	1967
Botswana	Africa	1972
Botswana	Africa	1977
Botswana	Africa	1982
Botswana	Africa	1987
Botswana	Africa	1992
Botswana	Africa	1997
Botswana	Africa	2002
Botswana	Africa	2007
Brazil	Americas	1952
Brazil	Americas	1957
Brazil	Americas	1962
Brazil	Americas	1967
Brazil	Americas	1972
Brazil	Americas	1977
Brazil	Americas	1982
Brazil	Americas	1987
Brazil	Americas	1992
Brazil	Americas	1997
Brazil	Americas	2002
Brazil	Americas	2007
Bulgaria	Europe	1952
Bulgaria	Europe	1957
Bulgaria	Europe	1962
Bulgaria	Europe	1967
Bulgaria	Europe	1972
Bulgaria	Europe	1977
Bulgaria	Europe	1982
Bulgaria	Europe	1987
Bulgaria	Europe	1992
Bulgaria	Europe	1997
Bulgaria	Europe	2002
Bulgaria	Europe	2007
Burkina_Faso	Africa	1952
Burkina_Faso	Africa	1957
Burkina_Faso	Africa	1962
Burkina_Faso	Africa	1967
Burkina_Faso	Africa	1972
Burkina_Faso	Africa	1977
Burkina_Faso	Africa	1982
Burkina_Faso	Africa	1987
Burkina_Faso	Africa	1992
Burkina_Faso	Africa	1997
Burkina_Faso	Africa	2002
Burkina_Faso	Africa	2007
Burundi	Africa	1952
Burundi	Africa	1957
Burundi	Africa	1962
Burundi	Africa	1967
Burundi	Africa	1972
Burundi	Africa	1977
Burundi	Africa	1982
Burundi	Africa	1987
Burundi	Africa	1992
Burundi	Africa	1997
Burundi	Africa	2002
Burundi	Africa	2007
Cambodia	Asia	1952
Cambodia	Asia	1957
Cambodia	Asia	1962
Cambodia	Asia	1967
Cambodia	Asia	1972
Cambodia	Asia	1977
Cambodia	Asia	1982
Cambodia	Asia	1987
Cambodia	Asia	1992
Cambodia	Asia	1997
Cambodia	Asia	2002
Cambodia	Asia	2007
Cameroon	Africa	1952
Cameroon	Africa	1957
Cameroon	Africa	1962
Cameroon	Africa	1967
Cameroon	Africa	1972
Cameroon	Africa	1977
Cameroon	Africa	1982
Cameroon	Africa	1987
Cameroon	Africa	1992
Cameroon	Africa	1997
Cameroon	Africa	2002
Cameroon	Africa	2007
Canada	Americas	1952
Canada	Americas	1957
Canada	Americas	1962
Canada	Americas	1967
Canada	Americas	1972
Canada	Americas	1977
Canada	Americas	1982
Canada	Americas	1987
Canada	Americas	1992
Canada	Americas	1997
Canada	Americas	2002
Canada	Americas	2007
Central_African_Republic	Africa	1952
Central_African_Republic	Africa	1957
Central_African_Republic	Africa	1962
Central_African_Republic	Africa	1967
Central_African_Republic	Africa	1972
Central_African_Republic	Africa	1977
Central_African_Republic	Africa	1982
Central_African_Republic	Africa	1987
Central_African_Republic	Africa	1992
Central_African_Republic	Africa	1997
Central_African_Republic	Africa	2002
Central_African_Republic	Africa	2007
Chad	Africa	1952
Chad	Africa	1957
Chad	Africa	1962
Chad	Africa	1967
Chad	Africa	1972
Chad	Africa	1977
Chad	Africa	1982
Chad	Africa	1987
Chad	Africa	1992
Chad	Africa	1997
Chad	Africa	2002
Chad	Africa	2007
Chile	Americas	1952
Chile	Americas	1957
Chile	Americas	1962
Chile	Americas	1967
Chile	Americas	1972
Chile	Americas	1977
Chile	Americas	1982
Chile	Americas	1987
Chile	Americas	1992
Chile	Americas	1997
Chile	Americas	2002
Chile	Americas	2007
China	Asia	1952
China	Asia	1957
China	Asia	1962
China	Asia	1967
China	Asia	1972
China	Asia	1977
China	Asia	1982
China	Asia	1987
China	Asia	1992
China	Asia	1997
China	Asia	2002
China	Asia	2007
Colombia	Americas	1952
Colombia	Americas	1957
Colombia	Americas	1962
Colombia	Americas	1967
Colombia	Americas	1972
Colombia	Americas	1977
Colombia	Americas	1982
Colombia	Americas	1987
Colombia	Americas	1992
Colombia	Americas	1997
Colombia	Americas	2002
Colombia	Americas	2007
Comoros	Africa	1952
Comoros	Africa	1957
Comoros	Africa	1962
Comoros	Africa	1967
Comoros	Africa	1972
Comoros	Africa	1977
Comoros	Africa	1982
Comoros	Africa	1987
Comoros	Africa	1992
Comoros	Africa	1997
Comoros	Africa	2002
Comoros	Africa	2007
Congo_Dem_Rep	Africa	1952
Congo_Dem_Rep	Africa	1957
Congo_Dem_Rep	Africa	1962
Congo_Dem_Rep	Africa	1967
Congo_Dem_Rep	Africa	1972
Congo_Dem_Rep	Africa	1977
Congo_Dem_Rep	Africa	1982
Congo_Dem_Rep	Africa	1987
Congo_Dem_Rep	Africa	1992
Congo_Dem_Rep	Africa	1997
Congo_Dem_Rep	Africa	2002
Congo_Dem_Rep	Africa	2007
Congo_Rep	Africa	1952
Congo_Rep	Africa	1957
Congo_Rep	Africa	1962
Congo_Rep	Africa	1967
Congo_Rep	Africa	1972
Congo_Rep	Africa	1977
Congo_Rep	Africa	1982
Congo_Rep	Africa	1987
Congo_Rep	Africa	1992
Congo_Rep	Africa	1997
Congo_Rep	Africa	2002
Congo_Rep	Africa	2007
Costa_Rica	Americas	1952
Costa_Rica	Americas	1957
Costa_Rica	Americas	1962
Costa_Rica	Americas	1967
Costa_Rica	Americas	1972
Costa_Rica	Americas	1977
Costa_Rica	Americas	1982
Costa_Rica	Americas	1987
Costa_Rica	Americas	1992
Costa_Rica	Americas	1997
Costa_Rica	Americas	2002
Costa_Rica	Americas	2007
Cote_d'Ivoire	Africa	1952
Cote_d'Ivoire	Africa	1957
Cote_d'Ivoire	Africa	1962
Cote_d'Ivoire	Africa	1967
Cote_d'Ivoire	Africa	1972
Cote_d'Ivoire	Africa	1977
Cote_d'Ivoire	Africa	1982
Cote_d'Ivoire	Africa	1987
Cote_d'Ivoire	Africa	1992
Cote_d'Ivoire	Africa	1997
Cote_d'Ivoire	Africa	2002
Cote_d'Ivoire	Africa	2007
Croatia	Europe	1952
Croatia	Europe	1957
Croatia	Europe	1962
Croatia	Europe	1967
Croatia	Europe	1972
Croatia	Europe	1977
Croatia	Europe	1982
Croatia	Europe	1987
Croatia	Europe	1992
Croatia	Europe	1997
Croatia	Europe	2002
Croatia	Europe	2007
Cuba	Americas	1952
Cuba	Americas	1957
Cuba	Americas	1962
Cuba	Americas	1967
Cuba	Americas	1972
Cuba	Americas	1977
Cuba	Americas	1982
Cuba	Americas	1987
Cuba	Americas	1992
Cuba	Americas	1997
Cuba	Americas	2002
Cuba	Americas	2007
Czech_Republic	Europe	1952
Czech_Republic	Europe	1957
Czech_Republic	Europe	1962
Czech_Republic	Europe	1967
Czech_Republic	Europe	1972
Czech_Republic	Europe	1977
Czech_Republic	Europe	1982
Czech_Republic	Europe	1987
Czech_Republic	Europe	1992
Czech_Republic	Europe	1997
Czech_Republic	Europe	2002
Czech_Republic	Europe	2007
Denmark	Europe	1952
Denmark	Europe	1957
Denmark	Europe	1962
Denmark	Europe	1967
Denmark	Europe	1972
Denmark	Europe	1977
Denmark	Europe	1982
Denmark	Europe	1987
Denmark	Europe	1992
Denmark	Europe	1997
Denmark	Europe	2002
Denmark	Europe	2007
Djibouti	Africa	1952
Djibouti	Africa	1957
Djibouti	Africa	1962
Djibouti	Africa	1967
Djibouti	Africa	1972
Djibouti	Africa	1977
Djibouti	Africa	1982
Djibouti	Africa	1987
Djibouti	Africa	1992
Djibouti	Africa	1997
Djibouti	Africa	2002
Djibouti	Africa	2007
Dominican_Republic	Americas	1952
Dominican_Republic	Americas	1957
Dominican_Republic	Americas	1962
Dominican_Republic	Americas	1967
Dominican_Republic	Americas	1972
Dominican_Republic	Americas	1977
Dominican_Republic	Americas	1982
Dominican_Republic	Americas	1987
Dominican_Republic	Americas	1992
Dominican_Republic	Americas	1997
Dominican_Republic	Americas	2002
Dominican_Republic	Americas	2007
Ecuador	Americas	1952
Ecuador	Americas	1957
Ecuador	Americas	1962
Ecuador	Americas	1967
Ecuador	Americas	1972
Ecuador	Americas	1977
Ecuador	Americas	1982
Ecuador	Americas	1987
Ecuador	Americas	1992
Ecuador	Americas	1997
Ecuador	Americas	2002
Ecuador	Americas	2007
Egypt	Africa	1952
Egypt	Africa	1957
Egypt	Africa	1962
Egypt	Africa	1967
Egypt	Africa	1972
Egypt	Africa	1977
Egypt	Africa	1982
Egypt	Africa	1987
Egypt	Africa	1992
Egypt	Africa	1997
Egypt	Africa	2002
Egypt	Africa	2007
El_Salvador	Americas	1952
El_Salvador	Americas	1957
El_Salvador	Americas	1962
El_Salvador	Americas	1967
El_Salvador	Americas	1972
El_Salvador	Americas	1977
El_Salvador	Americas	1982
El_Salvador	Americas	1987
El_Salvador	Americas	1992
El_Salvador	Americas	1997
El_Salvador	Americas	2002
El_Salvador	Americas	2007
Equatorial_Guinea	Africa	1952
Equatorial_Guinea	Africa	1957
Equatorial_Guinea	Africa	1962
Equatorial_Guinea	Africa	1967
Equatorial_Guinea	Africa	1972
Equatorial_Guinea	Africa	1977
Equatorial_Guinea	Africa	1982
Equatorial_Guinea	Africa	1987
Equatorial_Guinea	Africa	1992
Equatorial_Guinea	Africa	1997
Equatorial_Guinea	Africa	2002
Equatorial_Guinea	Africa	2007
Eritrea	Africa	1952
Eritrea	Africa	1957
Eritrea	Africa	1962
Eritrea	Africa	1967
Eritrea	Africa	1972
Eritrea	Africa	1977
Eritrea	Africa	1982
Eritrea	Africa	1987
Eritrea	Africa	1992
Eritrea	Africa	1997
Eritrea	Africa	2002
Eritrea	Africa	2007
Ethiopia	Africa	1952
Ethiopia	Africa	1957
Ethiopia	Africa	1962
Ethiopia	Africa	1967
Ethiopia	Africa	1972
Ethiopia	Africa	1977
Ethiopia	Africa	1982
Ethiopia	Africa	1987
Ethiopia	Africa	1992
Ethiopia	Africa	1997
Ethiopia	Africa	2002
Ethiopia	Africa	2007
Finland	Europe	1952
Finland	Europe	1957
Finland	Europe	1962
Finland	Europe	1967
Finland	Europe	1972
Finland	Europe	1977
Finland	Europe	1982
Finland	Europe	1987
Finland	Europe	1992
Finland	Europe	1997
Finland	Europe	2002
Finland	Europe	2007
France	Europe	1952
France	Europe	1957
France	Europe	1962
France	Europe	1967
France	Europe	1972
France	Europe	1977
France	Europe	1982
France	Europe	1987
France	Europe	1992
France	Europe	1997
France	Europe	2002
France	Europe	2007
Gabon	Africa	1952
Gabon	Africa	1957
Gabon	Africa	1962
Gabon	Africa	1967
Gabon	Africa	1972
Gabon	Africa	1977
Gabon	Africa	1982
Gabon	Africa	1987
Gabon	Africa	1992
Gabon	Africa	1997
Gabon	Africa	2002
Gabon	Africa	2007
Gambia	Africa	1952
Gambia	Africa	1957
Gambia	Africa	1962
Gambia	Africa	1967
Gambia	Africa	1972
Gambia	Africa	1977
Gambia	Africa	1982
Gambia	Africa	1987
Gambia	Africa	1992
Gambia	Africa	1997
Gambia	Africa	2002
Gambia	Africa	2007
Germany	Europe	1952
Germany	Europe	1957
Germany	Europe	1962
Germany	Europe	1967
Germany	Europe	1972
Germany	Europe	1977
Germany	Europe	1982
Germany	Europe	1987
Germany	Europe	1992
Germany	Europe	1997
Germany	Europe	2002
Germany	Europe	2007
Ghana	Africa	1952
Ghana	Africa	1957
Ghana	Africa	1962
Ghana	Africa	1967
Ghana	Africa	1972
Ghana	Africa	1977
Ghana	Africa	1982
Ghana	Africa	1987
Ghana	Africa	1992
Ghana	Africa	1997
Ghana	Africa	2002
Ghana	Africa	2007
Greece	Europe	1952
Greece	Europe	1957
Greece	Europe	1962
Greece	Europe	1967
Greece	Europe	1972
Greece	Europe	1977
Greece	Europe	1982
Greece	Europe	1987
Greece	Europe	1992
Greece	Europe	1997
Greece	Europe	2002
Greece	Europe	2007
Guatemala	Americas	1952
Guatemala	Americas	1957
Guatemala	Americas	1962
Guatemala	Americas	1967
Guatemala	Americas	1972
Guatemala	Americas	1977
Guatemala	Americas	1982
Guatemala	Americas	1987
Guatemala	Americas	1992
Guatemala	Americas	1997
Guatemala	Americas	2002
Guatemala	Americas	2007
Guinea	Africa	1952
Guinea	Africa	1957
Guinea	Africa	1962
Guinea	Africa	1967
Guinea	Africa	1972
Guinea	Africa	1977
Guinea	Africa	1982
Guinea	Africa	1987
Guinea	Africa	1992
Guinea	Africa	1997
Guinea	Africa	2002
Guinea	Africa	2007
Guinea-Bissau	Africa	1952
Guinea-Bissau	Africa	1957
Guinea-Bissau	Africa	1962
Guinea-Bissau	Africa	1967
Guinea-Bissau	Africa	1972
Guinea-Bissau	Africa	1977
Guinea-Bissau	Africa	1982
Guinea-Bissau	Africa	1987
Guinea-Bissau	Africa	1992
Guinea-Bissau	Africa	1997
Guinea-Bissau	Africa	2002
Guinea-Bissau	Africa	2007
Haiti	Americas	1952
Haiti	Americas	1957
Haiti	Americas	1962
Haiti	Americas	1967
Haiti	Americas	1972
Haiti	Americas	1977
Haiti	Americas	1982
Haiti	Americas	1987
Haiti	Americas	1992
Haiti	Americas	1997
Haiti	Americas	2002
Haiti	Americas	2007
Honduras	Americas	1952
Honduras	Americas	1957
Honduras	Americas	1962
Honduras	Americas	1967
Honduras	Americas	1972
Honduras	Americas	1977
Honduras	Americas	1982
Honduras	Americas	1987
Honduras	Americas	1992
Honduras	Americas	1997
Honduras	Americas	2002
Honduras	Americas	2007
Hong_Kong_China	Asia	1952
Hong_Kong_China	Asia	1957
Hong_Kong_China	Asia	1962
Hong_Kong_China	Asia	1967
Hong_Kong_China	Asia	1972
Hong_Kong_China	Asia	1977
Hong_Kong_China	Asia	1982
Hong_Kong_China	Asia	1987
Hong_Kong_China	Asia	1992
Hong_Kong_China	Asia	1997
Hong_Kong_China	Asia	2002
Hong_Kong_China	Asia	2007
Hungary	Europe	1952
Hungary	Europe	1957
Hungary	Europe	1962
Hungary	Europe	1967
Hungary	Europe	1972
Hungary	Europe	1977
Hungary	Europe	1982
Hungary	Europe	1987
Hungary	Europe	1992
Hungary	Europe	1997
Hungary	Europe	2002
Hungary	Europe	2007
Iceland	Europe	1952
Iceland	Europe	1957
Iceland	Europe	1962
Iceland	Europe	1967
Iceland	Europe	1972
Iceland	Europe	1977
Iceland	Europe	1982
Iceland	Europe	1987
Iceland	Europe	1992
Iceland	Europe	1997
Iceland	Europe	2002
Iceland	Europe	2007
India	Asia	1952
India	Asia	1957
India	Asia	1962
India	Asia	1967
India	Asia	1972
India	Asia	1977
India	Asia	1982
India	Asia	1987
India	Asia	1992
India	Asia	1997
India	Asia	2002
India	Asia	2007
Indonesia	Asia	1952
Indonesia	Asia	1957
Indonesia	Asia	1962
Indonesia	Asia	1967
Indonesia	Asia	1972
Indonesia	Asia	1977
Indonesia	Asia	1982
Indonesia	Asia	1987
Indonesia	Asia	1992
Indonesia	Asia	1997
Indonesia	Asia	2002
Indonesia	Asia	2007
Iran	Asia	1952
Iran	Asia	1957
Iran	Asia	1962
Iran	Asia	1967
Iran	Asia	1972
Iran	Asia	1977
Iran	Asia	1982
Iran	Asia	1987
Iran	Asia	1992
Iran	Asia	1997
Iran	Asia	2002
Iran	Asia	2007
Iraq	Asia	1952
Iraq	Asia	1957
Iraq	Asia	1962
Iraq	Asia	1967
Iraq	Asia	1972
Iraq	Asia	1977
Iraq	Asia	1982
Iraq	Asia	1987
Iraq	Asia	1992
Iraq	Asia	1997
Iraq	Asia	2002
Iraq	Asia	2007
Ireland	Europe	1952
Ireland	Europe	1957
Ireland	Europe	1962
Ireland	Europe	1967
Ireland	Europe	1972
Ireland	Europe	1977
Ireland	Europe	1982
Ireland	Europe	1987
Ireland	Europe	1992
Ireland	Europe	1997
Ireland	Europe	2002
Ireland	Europe	2007
Israel	Asia	1952
Israel	Asia	1957
Israel	Asia	1962
Israel	Asia	1967
Israel	Asia	1972
Israel	Asia	1977
Israel	Asia	1982
Israel	Asia	1987
Israel	Asia	1992
Israel	Asia	1997
Israel	Asia	2002
Israel	Asia	2007
Italy	Europe	1952
