country	year
Afghanistan	1952
Afghanistan	1957
Afghanistan	1962
Afghanistan	1967
Afghanistan	1972
Afghanistan	1977
Afghanistan	1982
Afghanistan	1987
Afghanistan	1992
Afghanistan	1997
Afghanistan	2002
Afghanistan	2007
Albania	1952
Albania	1957
Albania	1962
Albania	1967
Albania	1972
Albania	1977
Albania	1982
Albania	1987
Albania	1992
Albania	1997
Albania	2002
Albania	2007
Algeria	1952
Algeria	1957
Algeria	1962
Algeria	1967
Algeria	1972
Algeria	1977
Algeria	1982
Algeria	1987
Algeria	1992
Algeria	1997
Algeria	2002
Algeria	2007
Angola	1952
Angola	1957
Angola	1962
Angola	1967
Angola	1972
Angola	1977
Angola	1982
Angola	1987
Angola	1992
Angola	1997
Angola	2002
Angola	2007
Argentina	1952
Argentina	1957
Argentina	1962
Argentina	1967
Argentina	1972
Argentina	1977
Argentina	1982
Argentina	1987
Argentina	1992
Argentina	1997
Argentina	2002
Argentina	2007
Australia	1952
Australia	1957
Australia	1962
Australia	1967
Australia	1972
Australia	1977
Australia	1982
Australia	1987
Australia	1992
Australia	1997
Australia	2002
Australia	2007
Austria	1952
Austria	1957
Austria	1962
Austria	1967
Austria	1972
Austria	1977
Austria	1982
Austria	1987
Austria	1992
Austria	1997
Austria	2002
Austria	2007
Bahrain	1952
Bahrain	1957
Bahrain	1962
Bahrain	1967
Bahrain	1972
Bahrain	1977
Bahrain	1982
Bahrain	1987
Bahrain	1992
Bahrain	1997
Bahrain	2002
Bahrain	2007
Bangladesh	1952
Bangladesh	1957
Bangladesh	1962
Bangladesh	1967
Bangladesh	1972
Bangladesh	1977
Bangladesh	1982
Bangladesh	1987
Bangladesh	1992
Bangladesh	1997
Bangladesh	2002
Bangladesh	2007
Belgium	1952
Belgium	1957
Belgium	1962
Belgium	1967
Belgium	1972
Belgium	1977
Belgium	1982
Belgium	1987
Belgium	1992
Belgium	1997
Belgium	2002
Belgium	2007
Benin	1952
Benin	1957
Benin	1962
Benin	1967
Benin	1972
Benin	1977
Benin	1982
Benin	1987
Benin	1992
Benin	1997
Benin	2002
Benin	2007
Bolivia	1952
Bolivia	1957
Bolivia	1962
Bolivia	1967
Bolivia	1972
Bolivia	1977
Bolivia	1982
Bolivia	1987
Bolivia	1992
Bolivia	1997
Bolivia	2002
Bolivia	2007
Bosnia_and_Herzegovina	1952
Bosnia_and_Herzegovina	1957
Bosnia_and_Herzegovina	1962
Bosnia_and_Herzegovina	1967
Bosnia_and_Herzegovina	1972
Bosnia_and_Herzegovina	1977
Bosnia_and_Herzegovina	1982
Bosnia_and_Herzegovina	1987
